max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_1,last-path-return_agent_1,episodes,episode_reward,total-samples
-9.723496,-9.723496,-9.723496,-9.723496,-9.723496,-9.723496,1,1,1
-9.723496,-10.244827,-10.244827,-9.723496,-10.244827,-10.244827,2,2,2
-9.723496,-19.369959,-19.369959,-9.723496,-19.369959,-19.369959,3,3,3
-9.723496,-13.006288,-13.006288,-9.723496,-13.006288,-13.006288,4,4,4
-9.723496,-10.858776,-10.858776,-9.723496,-10.858776,-10.858776,5,5,5
-9.723496,-16.0965,-16.0965,-9.723496,-16.0965,-16.0965,6,6,6
-9.723496,-14.983948,-14.983948,-9.723496,-14.983948,-14.983948,7,7,7
-9.723496,-10.08265,-10.08265,-9.723496,-10.08265,-10.08265,8,8,8
-9.723496,-11.56766,-11.56766,-9.723496,-11.56766,-11.56766,9,9,9
-9.723496,-13.142184,-13.142184,-9.723496,-13.142184,-13.142184,10,10,10
-9.723496,-22.749437,-22.749437,-9.723496,-22.749437,-22.749437,11,11,11
-9.723496,-17.15079,-17.15079,-9.723496,-17.15079,-17.15079,12,12,12
-9.723496,-19.045034,-19.045034,-9.723496,-19.045034,-19.045034,13,13,13
-9.723496,-17.614838,-17.614838,-9.723496,-17.614838,-17.614838,14,14,14
-9.723496,-16.102959,-16.102959,-9.723496,-16.102959,-16.102959,15,15,15
-9.723496,-18.444532,-18.444532,-9.723496,-18.444532,-18.444532,16,16,16
-9.723496,-11.728952,-11.728952,-9.723496,-11.728952,-11.728952,17,17,17
-9.723496,-11.366041,-11.366041,-9.723496,-11.366041,-11.366041,18,18,18
-9.723496,-14.677341,-14.677341,-9.723496,-14.677341,-14.677341,19,19,19
-9.723496,-13.045092,-13.045092,-9.723496,-13.045092,-13.045092,20,20,20
-9.723496,-21.111015,-21.111015,-9.723496,-21.111015,-21.111015,21,21,21
-9.723496,-16.800581,-16.800581,-9.723496,-16.800581,-16.800581,22,22,22
-9.723496,-14.783686,-14.783686,-9.723496,-14.783686,-14.783686,23,23,23
-9.723496,-13.150474,-13.150474,-9.723496,-13.150474,-13.150474,24,24,24
-9.723496,-14.597713,-14.597713,-9.723496,-14.597713,-14.597713,25,25,25
-9.723496,-19.554184,-19.554184,-9.723496,-19.554184,-19.554184,26,26,26
-9.723496,-16.804077,-16.804077,-9.723496,-16.804077,-16.804077,27,27,27
-9.723496,-11.129325,-11.129325,-9.723496,-11.129325,-11.129325,28,28,28
-9.557784,-9.557784,-9.557784,-9.557784,-9.557784,-9.557784,29,29,29
-9.557784,-11.654835,-11.654835,-9.557784,-11.654835,-11.654835,30,30,30
-9.557784,-10.902661,-10.902661,-9.557784,-10.902661,-10.902661,31,31,31
-9.064409,-9.064409,-9.064409,-9.064409,-9.064409,-9.064409,32,32,32
-9.064409,-15.735919,-15.735919,-9.064409,-15.735919,-15.735919,33,33,33
-9.064409,-11.7759495,-11.7759495,-9.064409,-11.7759495,-11.7759495,34,34,34
-9.064409,-20.154394,-20.154394,-9.064409,-20.154394,-20.154394,35,35,35
-9.064409,-14.957709,-14.957709,-9.064409,-14.957709,-14.957709,36,36,36
-9.064409,-20.455542,-20.455542,-9.064409,-20.455542,-20.455542,37,37,37
-9.064409,-16.000217,-16.000217,-9.064409,-16.000217,-16.000217,38,38,38
-9.064409,-9.300782,-9.300782,-9.064409,-9.300782,-9.300782,39,39,39
-9.064409,-12.492592,-12.492592,-9.064409,-12.492592,-12.492592,40,40,40
-9.064409,-16.016867,-16.016867,-9.064409,-16.016867,-16.016867,41,41,41
-9.064409,-15.89239,-15.89239,-9.064409,-15.89239,-15.89239,42,42,42
-5.6187625,-5.6187625,-5.6187625,-5.6187625,-5.6187625,-5.6187625,43,43,43
-5.6187625,-13.988621,-13.988621,-5.6187625,-13.988621,-13.988621,44,44,44
-5.6187625,-15.089413,-15.089413,-5.6187625,-15.089413,-15.089413,45,45,45
-5.6187625,-13.708784,-13.708784,-5.6187625,-13.708784,-13.708784,46,46,46
-5.6187625,-20.693314,-20.693314,-5.6187625,-20.693314,-20.693314,47,47,47
-5.6187625,-9.026836,-9.026836,-5.6187625,-9.026836,-9.026836,48,48,48
-5.6187625,-14.064903,-14.064903,-5.6187625,-14.064903,-14.064903,49,49,49
-5.6187625,-19.304806,-19.304806,-5.6187625,-19.304806,-19.304806,50,50,50
-5.6187625,-17.274406,-17.274406,-5.6187625,-17.274406,-17.274406,51,51,51
-5.6187625,-8.332669,-8.332669,-5.6187625,-8.332669,-8.332669,52,52,52
-5.6187625,-15.601051,-15.601051,-5.6187625,-15.601051,-15.601051,53,53,53
-5.6187625,-21.838448,-21.838448,-5.6187625,-21.838448,-21.838448,54,54,54
-5.6187625,-12.663805,-12.663805,-5.6187625,-12.663805,-12.663805,55,55,55
-5.6187625,-19.420424,-19.420424,-5.6187625,-19.420424,-19.420424,56,56,56
-5.6187625,-14.94072,-14.94072,-5.6187625,-14.94072,-14.94072,57,57,57
-5.6187625,-14.895638,-14.895638,-5.6187625,-14.895638,-14.895638,58,58,58
-5.6187625,-12.7096815,-12.7096815,-5.6187625,-12.7096815,-12.7096815,59,59,59
-5.6187625,-11.619887,-11.619887,-5.6187625,-11.619887,-11.619887,60,60,60
-5.6187625,-11.4584675,-11.4584675,-5.6187625,-11.4584675,-11.4584675,61,61,61
-5.6187625,-13.431598,-13.431598,-5.6187625,-13.431598,-13.431598,62,62,62
-5.6187625,-7.534594,-7.534594,-5.6187625,-7.534594,-7.534594,63,63,63
-5.6187625,-15.85769,-15.85769,-5.6187625,-15.85769,-15.85769,64,64,64
-5.6187625,-13.859327,-13.859327,-5.6187625,-13.859327,-13.859327,65,65,65
-5.6187625,-14.746437,-14.746437,-5.6187625,-14.746437,-14.746437,66,66,66
-5.6187625,-16.677944,-16.677944,-5.6187625,-16.677944,-16.677944,67,67,67
-5.6187625,-19.639427,-19.639427,-5.6187625,-19.639427,-19.639427,68,68,68
-5.6187625,-15.503777,-15.503777,-5.6187625,-15.503777,-15.503777,69,69,69
-5.6187625,-13.803649,-13.803649,-5.6187625,-13.803649,-13.803649,70,70,70
-5.6187625,-10.697535,-10.697535,-5.6187625,-10.697535,-10.697535,71,71,71
-5.6187625,-13.911971,-13.911971,-5.6187625,-13.911971,-13.911971,72,72,72
-5.6187625,-10.602155,-10.602155,-5.6187625,-10.602155,-10.602155,73,73,73
-5.6187625,-7.086722,-7.086722,-5.6187625,-7.086722,-7.086722,74,74,74
-5.6187625,-12.634365,-12.634365,-5.6187625,-12.634365,-12.634365,75,75,75
-5.6187625,-14.02253,-14.02253,-5.6187625,-14.02253,-14.02253,76,76,76
-5.6187625,-18.837622,-18.837622,-5.6187625,-18.837622,-18.837622,77,77,77
-5.6187625,-13.622522,-13.622522,-5.6187625,-13.622522,-13.622522,78,78,78
-5.6187625,-11.858394,-11.858394,-5.6187625,-11.858394,-11.858394,79,79,79
-5.6187625,-13.35978,-13.35978,-5.6187625,-13.35978,-13.35978,80,80,80
-5.6187625,-19.96795,-19.96795,-5.6187625,-19.96795,-19.96795,81,81,81
-5.6187625,-12.1329975,-12.1329975,-5.6187625,-12.1329975,-12.1329975,82,82,82
-5.6187625,-10.445768,-10.445768,-5.6187625,-10.445768,-10.445768,83,83,83
-5.6187625,-11.2511635,-11.2511635,-5.6187625,-11.2511635,-11.2511635,84,84,84
-5.6187625,-12.253847,-12.253847,-5.6187625,-12.253847,-12.253847,85,85,85
-5.6187625,-12.006283,-12.006283,-5.6187625,-12.006283,-12.006283,86,86,86
-5.6187625,-15.978386,-15.978386,-5.6187625,-15.978386,-15.978386,87,87,87
-5.6187625,-14.012256,-14.012256,-5.6187625,-14.012256,-14.012256,88,88,88
-5.6187625,-17.640392,-17.640392,-5.6187625,-17.640392,-17.640392,89,89,89
-5.6187625,-12.543765,-12.543765,-5.6187625,-12.543765,-12.543765,90,90,90
-5.6187625,-19.918465,-19.918465,-5.6187625,-19.918465,-19.918465,91,91,91
-5.6187625,-13.54615,-13.54615,-5.6187625,-13.54615,-13.54615,92,92,92
-5.6187625,-13.1903305,-13.1903305,-5.6187625,-13.1903305,-13.1903305,93,93,93
-5.6187625,-9.894592,-9.894592,-5.6187625,-9.894592,-9.894592,94,94,94
-5.6187625,-16.851658,-16.851658,-5.6187625,-16.851658,-16.851658,95,95,95
-5.6187625,-20.70995,-20.70995,-5.6187625,-20.70995,-20.70995,96,96,96
-5.6187625,-11.327884,-11.327884,-5.6187625,-11.327884,-11.327884,97,97,97
