max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_1,last-path-return_agent_1,episodes,total-samples
-14.0814,-14.0814,-14.0814,-14.0814,-14.0814,-14.0814,1,1
-14.0814,-14.722101,-14.722101,-14.0814,-14.722101,-14.722101,2,2
-13.717429,-13.717429,-13.717429,-13.717429,-13.717429,-13.717429,3,3
-13.717429,-14.518973,-14.518973,-13.717429,-14.518973,-14.518973,4,4
-13.717429,-15.144788,-15.144788,-13.717429,-15.144788,-15.144788,5,5
-13.717429,-14.300798,-14.300798,-13.717429,-14.300798,-14.300798,6,6
-13.616385,-13.616385,-13.616385,-13.616385,-13.616385,-13.616385,7,7
-13.616385,-13.68624,-13.68624,-13.616385,-13.68624,-13.68624,8,8
-13.616385,-14.398475,-14.398475,-13.616385,-14.398475,-14.398475,9,9
-13.616385,-14.002286,-14.002286,-13.616385,-14.002286,-14.002286,10,10
-13.616385,-14.270584,-14.270584,-13.616385,-14.270584,-14.270584,11,11
-13.616385,-14.804053,-14.804053,-13.616385,-14.804053,-14.804053,12,12
-13.616385,-14.477672,-14.477672,-13.616385,-14.477672,-14.477672,13,13
-13.616385,-13.844974,-13.844974,-13.616385,-13.844974,-13.844974,14,14
-13.616385,-14.01998,-14.01998,-13.616385,-14.01998,-14.01998,15,15
-13.616385,-13.760587,-13.760587,-13.616385,-13.760587,-13.760587,16,16
-13.616385,-14.722659,-14.722659,-13.616385,-14.722659,-14.722659,17,17
-13.616385,-14.321431,-14.321431,-13.616385,-14.321431,-14.321431,18,18
-13.616385,-13.738426,-13.738426,-13.616385,-13.738426,-13.738426,19,19
-13.616385,-13.759015,-13.759015,-13.616385,-13.759015,-13.759015,20,20
-13.616385,-14.097879,-14.097879,-13.616385,-14.097879,-14.097879,21,21
-13.616385,-15.578197,-15.578197,-13.616385,-15.578197,-15.578197,22,22
-13.616385,-13.874274,-13.874274,-13.616385,-13.874274,-13.874274,23,23
-13.616385,-13.807975,-13.807975,-13.616385,-13.807975,-13.807975,24,24
-13.616385,-13.809061,-13.809061,-13.616385,-13.809061,-13.809061,25,25
-13.468826,-13.468826,-13.468826,-13.468826,-13.468826,-13.468826,26,26
-13.468826,-13.681127,-13.681127,-13.468826,-13.681127,-13.681127,27,27
-13.468826,-13.904502,-13.904502,-13.468826,-13.904502,-13.904502,28,28
-13.4281645,-13.4281645,-13.4281645,-13.4281645,-13.4281645,-13.4281645,29,29
-13.376734,-13.376734,-13.376734,-13.376734,-13.376734,-13.376734,30,30
-13.376734,-14.228299,-14.228299,-13.376734,-14.228299,-14.228299,31,31
-13.376734,-14.068733,-14.068733,-13.376734,-14.068733,-14.068733,32,32
-13.376734,-13.667867,-13.667867,-13.376734,-13.667867,-13.667867,33,33
-13.376734,-14.387242,-14.387242,-13.376734,-14.387242,-14.387242,34,34
-13.376734,-15.42267,-15.42267,-13.376734,-15.42267,-15.42267,35,35
-13.376734,-13.8066435,-13.8066435,-13.376734,-13.8066435,-13.8066435,36,36
-13.376734,-14.329518,-14.329518,-13.376734,-14.329518,-14.329518,37,37
-13.376734,-15.120455,-15.120455,-13.376734,-15.120455,-15.120455,38,38
-13.376734,-13.562012,-13.562012,-13.376734,-13.562012,-13.562012,39,39
-13.376734,-14.812858,-14.812858,-13.376734,-14.812858,-14.812858,40,40
-13.376734,-14.605283,-14.605283,-13.376734,-14.605283,-14.605283,41,41
-13.376734,-13.77419,-13.77419,-13.376734,-13.77419,-13.77419,42,42
-13.376734,-13.906549,-13.906549,-13.376734,-13.906549,-13.906549,43,43
-13.376734,-14.422381,-14.422381,-13.376734,-14.422381,-14.422381,44,44
-13.376734,-14.245661,-14.245661,-13.376734,-14.245661,-14.245661,45,45
-13.376734,-14.323997,-14.323997,-13.376734,-14.323997,-14.323997,46,46
-13.376734,-13.879003,-13.879003,-13.376734,-13.879003,-13.879003,47,47
-13.376734,-14.535913,-14.535913,-13.376734,-14.535913,-14.535913,48,48
-13.376734,-13.687488,-13.687488,-13.376734,-13.687488,-13.687488,49,49
-13.376734,-13.725525,-13.725525,-13.376734,-13.725525,-13.725525,50,50
-13.376734,-14.949661,-14.949661,-13.376734,-14.949661,-14.949661,51,51
-13.376734,-13.946512,-13.946512,-13.376734,-13.946512,-13.946512,52,52
-13.376734,-13.553802,-13.553802,-13.376734,-13.553802,-13.553802,53,53
