max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_1,last-path-return_agent_1,episodes,episode_reward,total-samples
-15.17278,-15.17278,-15.17278,-15.17278,-15.17278,-15.17278,1,1,1
-15.17278,-17.043228,-17.043228,-15.17278,-17.043228,-17.043228,2,2,2
-15.17278,-23.274563,-23.274563,-15.17278,-23.274563,-23.274563,3,3,3
-13.638366,-13.638366,-13.638366,-13.638366,-13.638366,-13.638366,4,4,4
-13.638366,-14.185972,-14.185972,-13.638366,-14.185972,-14.185972,5,5,5
-13.638366,-15.349475,-15.349475,-13.638366,-15.349475,-15.349475,6,6,6
-13.638366,-15.465343,-15.465343,-13.638366,-15.465343,-15.465343,7,7,7
-13.638366,-23.24547,-23.24547,-13.638366,-23.24547,-23.24547,8,8,8
-13.638366,-20.428753,-20.428753,-13.638366,-20.428753,-20.428753,9,9,9
-13.638366,-30.960934,-30.960934,-13.638366,-30.960934,-30.960934,10,10,10
-13.638366,-15.86853,-15.86853,-13.638366,-15.86853,-15.86853,11,11,11
-13.638366,-27.109241,-27.109241,-13.638366,-27.109241,-27.109241,12,12,12
-13.304321,-13.304321,-13.304321,-13.304321,-13.304321,-13.304321,13,13,13
-13.304321,-15.156997,-15.156997,-13.304321,-15.156997,-15.156997,14,14,14
-11.713391,-11.713391,-11.713391,-11.713391,-11.713391,-11.713391,15,15,15
-11.713391,-20.304226,-20.304226,-11.713391,-20.304226,-20.304226,16,16,16
-11.713391,-14.761023,-14.761023,-11.713391,-14.761023,-14.761023,17,17,17
-11.713391,-15.58738,-15.58738,-11.713391,-15.58738,-15.58738,18,18,18
-11.713391,-20.436895,-20.436895,-11.713391,-20.436895,-20.436895,19,19,19
-11.713391,-15.812576,-15.812576,-11.713391,-15.812576,-15.812576,20,20,20
-11.713391,-17.303133,-17.303133,-11.713391,-17.303133,-17.303133,21,21,21
-11.713391,-18.363626,-18.363626,-11.713391,-18.363626,-18.363626,22,22,22
-11.713391,-13.635735,-13.635735,-11.713391,-13.635735,-13.635735,23,23,23
-11.713391,-21.301022,-21.301022,-11.713391,-21.301022,-21.301022,24,24,24
-11.713391,-11.771996,-11.771996,-11.713391,-11.771996,-11.771996,25,25,25
-11.713391,-17.114264,-17.114264,-11.713391,-17.114264,-17.114264,26,26,26
-11.713391,-19.330982,-19.330982,-11.713391,-19.330982,-19.330982,27,27,27
-11.713391,-16.603083,-16.603083,-11.713391,-16.603083,-16.603083,28,28,28
-11.713391,-20.929808,-20.929808,-11.713391,-20.929808,-20.929808,29,29,29
-11.713391,-14.271248,-14.271248,-11.713391,-14.271248,-14.271248,30,30,30
-11.713391,-13.62456,-13.62456,-11.713391,-13.62456,-13.62456,31,31,31
-11.713391,-16.003521,-16.003521,-11.713391,-16.003521,-16.003521,32,32,32
-11.713391,-19.000626,-19.000626,-11.713391,-19.000626,-19.000626,33,33,33
-11.713391,-16.06993,-16.06993,-11.713391,-16.06993,-16.06993,34,34,34
-11.713391,-14.077458,-14.077458,-11.713391,-14.077458,-14.077458,35,35,35
